timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-18,53.8400,54.1100,53.6500,54.0000,54.0000,12726606,0.0000,1.0000
2019-11-15,53.7800,53.9400,53.4300,53.8000,53.8000,15225300,0.0000,1.0000
2019-11-14,53.2200,53.5600,53.1000,53.4900,53.4900,16491400,0.0000,1.0000
2019-11-13,53.8100,53.9000,53.2100,53.2900,53.2900,16846800,0.0000,1.0000
2019-11-12,53.7500,54.2400,53.6200,54.2200,54.2200,15187600,0.0000,1.0000
2019-11-11,53.7900,54.1400,53.7300,54.0500,54.0500,10659400,0.0000,1.0000
2019-11-08,53.8300,54.2300,53.5600,54.1000,54.1000,14722100,0.0000,1.0000
2019-11-07,53.7800,54.4000,53.7800,54.0000,54.0000,23452500,0.5100,1.0000
2019-11-06,53.2900,53.8400,53.1700,53.8000,53.2900,22051100,0.0000,1.0000
2019-11-05,52.7400,53.5000,52.7400,53.3000,52.7947,25965300,0.0000,1.0000
2019-11-04,52.5800,52.8000,52.2400,52.7200,52.2202,17559900,0.0000,1.0000
2019-11-01,52.1300,52.2900,51.9100,52.1800,51.6854,16359100,0.0000,1.0000
2019-10-31,51.7700,52.0300,51.1500,51.6300,51.1406,18814700,0.0000,1.0000
2019-10-30,51.8800,52.2800,51.6200,52.0300,51.5368,16155900,0.0000,1.0000
2019-10-29,51.5000,52.3600,51.5000,52.1700,51.6754,21063000,0.0000,1.0000
2019-10-28,51.9400,52.0500,51.5700,51.6500,51.1604,23914800,0.0000,1.0000
2019-10-25,51.0800,51.7300,51.0000,51.5700,51.0811,17433300,0.0000,1.0000
2019-10-24,50.6600,51.2000,50.6600,51.1000,50.6156,16695400,0.0000,1.0000
2019-10-23,50.7200,50.9700,50.5700,50.9300,50.4472,14173700,0.0000,1.0000
2019-10-22,50.4400,51.0200,50.2300,50.6200,50.1401,18526900,0.0000,1.0000
2019-10-21,50.2800,50.5000,50.1800,50.4600,49.9817,19409100,0.0000,1.0000
2019-10-18,49.3400,50.2200,49.3200,49.9700,49.4963,21199500,0.0000,1.0000
2019-10-17,49.9800,50.1700,49.4800,49.6100,49.1397,20560100,0.0000,1.0000
2019-10-16,50.0400,50.2800,49.4500,49.5900,49.1199,23728400,0.0000,1.0000
2019-10-15,49.2800,51.2500,48.7800,50.1100,49.6350,38478400,0.0000,1.0000
2019-10-14,49.0900,49.4500,48.9800,49.2700,48.8029,16870500,0.0000,1.0000
2019-10-11,49.4600,49.9200,49.1500,49.2100,48.7435,23024600,0.0000,1.0000
2019-10-10,48.3300,49.0700,48.1600,48.6500,48.1888,18267800,0.0000,1.0000
2019-10-09,48.1700,48.4200,48.0800,48.1500,47.6936,13467800,0.0000,1.0000
2019-10-08,48.2500,48.3500,47.5400,47.8200,47.3667,19734000,0.0000,1.0000
2019-10-07,48.9500,49.2900,48.7500,48.8100,48.3473,15691900,0.0000,1.0000
2019-10-04,48.6600,49.2500,48.5300,49.2100,48.7435,15779500,0.0000,1.0000
2019-10-03,48.3000,48.5100,47.3200,48.4800,48.0204,20212200,0.0000,1.0000
2019-10-02,48.7200,49.0400,48.3700,48.4700,48.0105,23515900,0.0000,1.0000
2019-10-01,50.6500,50.7800,49.0000,49.0600,48.5949,27249300,0.0000,1.0000
2019-09-30,50.7700,50.8500,50.0600,50.4400,49.9618,26897100,0.0000,1.0000
2019-09-27,50.4000,51.4100,50.2500,50.7100,50.2293,59467400,0.0000,1.0000
2019-09-26,49.2500,49.3700,48.8200,48.8700,48.4067,19984000,0.0000,1.0000
2019-09-25,48.7300,49.5400,48.6500,49.2600,48.7930,21313100,0.0000,1.0000
2019-09-24,48.9800,49.2200,48.4700,48.6500,48.1888,21629300,0.0000,1.0000
2019-09-23,48.3200,49.0900,48.3100,48.9600,48.4959,20603400,0.0000,1.0000
2019-09-20,49.0700,49.3000,48.6100,48.6300,48.1690,30229400,0.0000,1.0000
2019-09-19,48.9900,49.3100,48.8700,48.9100,48.4464,16887500,0.0000,1.0000
2019-09-18,48.6300,49.2100,48.4300,48.9300,48.4662,20511700,0.0000,1.0000
2019-09-17,48.7000,48.8600,48.3100,48.7600,48.2978,18346100,0.0000,1.0000
2019-09-16,48.4600,49.0000,48.4000,48.9800,48.5157,17759700,0.0000,1.0000
2019-09-13,49.0100,49.3600,48.6600,48.9200,48.4563,25142400,0.0000,1.0000
2019-09-12,48.5200,49.0800,48.2200,48.6500,48.1888,24305900,0.0000,1.0000
2019-09-11,48.2900,48.9800,47.7900,48.8500,48.3869,19190000,0.0000,1.0000
2019-09-10,48.0700,48.9300,48.0700,48.3100,47.8520,25822400,0.0000,1.0000
2019-09-09,47.3200,48.6400,46.8900,48.4100,47.9511,27651400,0.0000,1.0000
2019-09-06,47.5800,47.7700,47.1000,47.1500,46.7030,18846100,0.0000,1.0000
2019-09-05,47.3100,48.1700,47.3000,47.6200,47.1686,19243400,0.0000,1.0000
2019-09-04,46.5400,46.7000,46.2800,46.5000,46.0592,17123100,0.0000,1.0000
2019-09-03,46.3100,46.3400,45.4800,46.0900,45.6531,17224200,0.0000,1.0000
2019-08-30,46.5400,46.9000,46.4100,46.5700,46.1285,15250600,0.0000,1.0000
2019-08-29,46.0000,46.4900,45.7800,46.1900,45.7521,16196600,0.0000,1.0000
2019-08-28,44.6400,45.7800,44.4900,45.4700,45.0390,14740000,0.0000,1.0000
2019-08-27,45.2300,45.3300,44.4300,44.7500,44.3258,15038200,0.0000,1.0000
2019-08-26,44.7100,45.0000,44.4900,44.9800,44.5536,15973100,0.0000,1.0000
2019-08-23,45.2000,45.6500,44.0900,44.4200,43.9989,21152500,0.0000,1.0000
2019-08-22,45.3300,45.8300,45.0600,45.6200,45.1875,14703900,0.0000,1.0000
2019-08-21,44.9600,45.2800,44.8100,45.0000,44.5734,13513700,0.0000,1.0000
2019-08-20,45.0400,45.0400,44.6300,44.6800,44.2565,13345800,0.0000,1.0000
2019-08-19,45.1300,45.4700,44.9300,45.2500,44.8210,15378100,0.0000,1.0000
2019-08-16,43.7400,44.5400,43.3400,44.3900,43.9692,21196600,0.0000,1.0000
2019-08-15,44.3000,44.5000,43.3387,43.3800,42.9688,27900000,0.0000,1.0000
2019-08-14,45.0223,45.1000,43.9400,43.9700,43.5532,28786700,0.0000,1.0000
2019-08-13,45.6100,46.4200,45.2600,45.9600,45.5243,16649100,0.0000,1.0000
2019-08-12,45.5101,45.9100,45.3300,45.4300,44.9993,17364400,0.0000,1.0000
2019-08-09,46.0200,46.6600,45.7500,46.3000,45.8611,19786100,0.0000,1.0000
2019-08-08,45.6900,46.6400,45.5500,46.4000,45.9601,20671300,0.5100,1.0000
2019-08-07,46.0700,46.1500,45.2300,45.8100,44.8706,27830000,0.0000,1.0000
2019-08-06,46.6100,47.0300,45.8200,46.9300,45.9676,19446100,0.0000,1.0000
2019-08-05,46.5000,46.8000,45.8500,46.1400,45.1938,27113500,0.0000,1.0000
2019-08-02,47.1100,47.6100,46.3700,47.4400,46.4671,20159000,0.0000,1.0000
2019-08-01,48.4100,48.6400,46.9500,47.0600,46.0949,22668600,0.0000,1.0000
2019-07-31,48.2600,48.9800,48.1100,48.4100,47.4173,23422800,0.0000,1.0000
2019-07-30,48.0100,48.5900,47.8886,48.5500,47.5544,14207000,0.0000,1.0000
2019-07-29,49.3800,49.5700,48.1800,48.2800,47.2899,19148600,0.0000,1.0000
2019-07-26,48.1500,49.3100,48.0700,49.3000,48.2890,21641500,0.0000,1.0000
2019-07-25,48.5200,48.7400,48.0100,48.0900,47.1038,20562000,0.0000,1.0000
2019-07-24,47.3000,48.4700,47.2800,48.4500,47.4564,29357200,0.0000,1.0000
2019-07-23,46.6800,47.5900,46.6600,47.2000,46.2321,21150200,0.0000,1.0000
2019-07-22,45.8900,46.5500,45.7700,46.4800,45.5268,17972100,0.0000,1.0000
2019-07-19,45.9600,46.4100,45.8600,46.0300,45.0861,21847900,0.0000,1.0000
2019-07-18,45.2201,46.0200,45.1900,45.8200,44.8804,19409100,0.0000,1.0000
2019-07-17,45.2000,45.7500,45.1400,45.2100,44.2829,24502100,0.0000,1.0000
2019-07-16,46.7200,46.9700,45.2200,45.3000,44.3710,37548300,0.0000,1.0000
2019-07-15,47.4000,47.4500,46.4400,46.7100,45.7521,21338400,0.0000,1.0000
2019-07-12,47.1200,47.4200,46.9200,47.3600,46.3888,12792600,0.0000,1.0000
2019-07-11,47.2100,47.5800,47.0600,47.1400,46.1733,19751400,0.0000,1.0000
2019-07-10,47.6700,47.8100,47.0400,47.1500,46.1831,12784900,0.0000,1.0000
2019-07-09,47.3000,47.8900,47.2100,47.8300,46.8492,12595000,0.0000,1.0000
2019-07-08,47.4000,47.9900,47.3100,47.5300,46.5553,13189300,0.0000,1.0000
2019-07-05,48.1000,48.1900,47.6700,47.7700,46.7904,10801600,0.0000,1.0000
2019-07-03,47.3000,47.7900,46.9800,47.6600,46.6826,10438400,0.0000,1.0000
2019-07-02,47.5200,47.8000,46.9200,47.2300,46.2615,12107200,0.0000,1.0000
2019-07-01,47.8800,48.1200,47.4000,47.6900,46.7120,15089100,0.0000,1.0000
2019-06-28,46.8113,47.7000,46.8000,47.3200,46.3496,31030900,0.0000,1.0000
2019-06-27,46.2200,46.5300,46.1100,46.2900,45.3407,13391600,0.0000,1.0000
2019-06-26,46.2100,46.2800,45.7800,45.8000,44.8608,17106800,0.0000,1.0000
2019-06-25,46.1300,46.5300,45.4300,46.1400,45.1938,20814000,0.0000,1.0000
2019-06-24,46.5500,46.6900,46.2300,46.2700,45.3211,21854400,0.0000,1.0000
2019-06-21,45.8400,46.8900,45.7900,46.8900,45.9284,39186200,0.0000,1.0000
2019-06-20,45.8500,45.9900,45.2400,45.8600,44.9195,19205200,0.0000,1.0000
2019-06-19,46.4800,46.7487,45.6300,45.6500,44.7139,17787600,0.0000,1.0000
2019-06-18,45.2457,46.3900,45.0600,46.1000,45.1546,18611100,0.0000,1.0000
2019-06-17,45.5800,46.0200,45.1400,45.2700,44.3416,13420400,0.0000,1.0000
2019-06-14,45.3100,45.7900,44.8400,45.5900,44.6551,16147500,0.0000,1.0000
2019-06-13,45.1000,45.6300,44.9200,45.2900,44.3612,15629400,0.0000,1.0000
2019-06-12,46.0100,46.2700,44.7800,44.9100,43.9890,22470400,0.0000,1.0000
2019-06-11,45.8400,46.4600,45.7700,46.2600,45.3113,15078300,0.0000,1.0000
2019-06-10,46.0600,46.8100,46.0615,46.2700,45.3211,15242700,0.0000,1.0000
2019-06-07,45.9000,46.1600,45.5500,45.6300,44.6943,14979900,0.0000,1.0000
2019-06-06,45.7400,46.1900,45.4504,45.9200,44.9783,16020500,0.0000,1.0000
2019-06-05,45.8700,45.8997,45.3000,45.8600,44.9195,13705400,0.0000,1.0000
2019-06-04,45.1600,45.7600,45.0100,45.6800,44.7432,21082000,0.0000,1.0000
2019-06-03,44.2400,45.1100,44.2027,44.5200,43.6070,20172500,0.0000,1.0000
2019-05-31,44.5300,44.8600,44.2200,44.3700,43.4601,17540500,0.0000,1.0000
